SF,TP,CL,len_CL,len_SF
3001395,1,1000003,1,18
3001810,1,1000003,1,18
3000072,1,1000003,1,17
3000133,1,1000004,1,17
3002291,1,1000002,1,17
3000030,1,1000002,1,17
3001451,1,1000001,1,17
3001251,1,1000002,1,17
3001240,1,1000002,1,17
3001380,1,1000002,1,17
3000821,1,1000003,1,17
3002054,1,1000001,1,17
3000705,1,1000003,1,16
3000263,1,1000002,1,16
3001937,1,1000003,1,16
3000941,1,1000000,1,16
3000268,1,1000001,1,16
3001634,1,1000000,1,16
3001287,1,1000003,1,16
3000882,1,1000001,1,16
3001408,1,1000003,1,16
3000424,1,1000002,1,16
3000868,1,1000001,1,16
3001655,1,1000003,1,16
3000923,1,1000004,1,16
3002210,1,1000002,1,16
3000195,1,1000004,1,16
3000647,1,1000002,1,16
3001121,1,1000002,1,16
3001453,1,1000002,1,16
3001580,1,1000000,1,16
3001802,1,1000003,1,16
3000982,1,1000002,1,15
3000266,1,1000003,1,15
3001024,1,1000000,1,15
3002702,1,1000001,1,15
3001085,1,1000002,1,15
3001219,1,1000000,1,15
3000398,1,1000004,1,15
3001124,1,1000001,1,15
3000793,1,1000000,1,15
3001526,1,1000000,1,15
3000948,1,1000003,1,15
3000672,1,1000002,1,15
3000346,1,1000003,1,15
3002206,1,1000003,1,15
3000664,1,1000003,1,15
3001305,1,1000003,1,15
3000273,1,1000002,1,15
3000383,1,1000002,1,15
3001060,1,1000002,1,15
3001938,1,1000003,1,15
3000951,1,1000003,1,15
3001227,1,1000000,1,15
3000166,1,1000002,1,14
3001224,1,1000003,1,14
3001775,1,1000002,1,14
3001871,1,1000003,1,14
3000741,1,1000003,1,14
3001360,1,1000003,1,14
3001750,1,1000001,1,14
3001174,1,1000000,1,14
3000691,1,1000000,1,14
3000905,1,1000000,1,14
3001127,1,1000003,1,14
3001269,1,1000001,1,14
3001834,1,1000000,1,14
3001701,1,1000003,1,14
3001727,1,1000001,1,14
3002158,1,1000003,1,14
3001964,1,1000001,1,14
3000507,1,1000003,1,14
3002156,1,1000004,1,14
3000352,1,1000001,1,14
3002615,1,1000001,1,14
3001922,1,1000000,1,14
3001902,1,1000002,1,14
3000017,1,1000002,1,14
3000513,1,1000003,1,14
